Title,Year,Authors,GatesAuthors
Hedge detection as a lens on framing in the GMO debates - A position paper,2012,"Eunsol Choi, Chenhao Tan, Lillian Lee, Cristian Danescu-Niculescu-Mizil, Jennifer Spindel, ","Cristian Danescu-Niculescu-Mizil, Lillian Lee"
Horus - A Flexible Group Communication System.,1996,"Robbert van Renesse, Kenneth P. Birman, Silvano Maffeis, ","Ken Birman, Robbert van Renesse"
How bad is forming your own opinion?,2015,"David Bindel, Jon M. Kleinberg, Sigal Oren, ","David Bindel, Jon Kleinberg"
How Bad is Forming Your Own Opinion?,2011,"David Bindel, Jon M. Kleinberg, Sigal Oren, ","David Bindel, Jon Kleinberg"
How opinions are received by online communities - A case study on Amazon.com helpfulness votes,2009,"Cristian Danescu-Niculescu-Mizil, Gueorgi Kossinets, Jon M. Kleinberg, Lillian Lee, ","Cristian Danescu-Niculescu-Mizil, Jon Kleinberg, Lillian Lee"
Hyperproperties.,2008,"Michael R. Clarkson, Fred B. Schneider, ","Fred Schneider, Michael Clarkson"
"In Google We Trust - Users' Decisions on Rank, Position, and Relevance.",2007,"Bing Pan, Helene Hembrooke, Thorsten Joachims, Lori Lorigo, Geri Gay, Laura A. Granka, ","Geri Gay, Thorsten Joachims"
In Situ Design for Mental Illness - Considering the Pathology of Bipolar Disorder in mHealth Design.,2015,"Mark Matthews, Stephen Voida, Saeed Abdullah, Gavin Doherty, Tanzeem Choudhury, Sangha Im, Geri Gay, ","Geri Gay, Tanzeem Choudhury"
In-car gps navigation - engagement with and disengagement from the environment.,2008,"Gilly Leshed, Theresa Velden, Oya Rieger, Blazej J. Kot, Phoebe Sengers, ","Gilly Leshed, Phoebe Sengers"
"Incentives, Gamification, and Game Theory - An Economic Approach to Badge Design.",2016,"David Easley, Arpita Ghosh, ","Arpita Ghosh, David Easley"
"Incentives, gamification, and game theory - an economic approach to badge design.",2013,"David Easley, Arpita Ghosh, ","Arpita Ghosh, David Easley"
Incentivizing exploration.,2014,"Peter I. Frazier, David Kempe 0001, Jon M. Kleinberg, Robert Kleinberg, ","Jon Kleinberg, Robert Kleinberg"
Incentivizing participation in online forums for education.,2013,"Arpita Ghosh, Jon M. Kleinberg, ","Arpita Ghosh, Jon Kleinberg"
Inferential Privacy Guarantees for Differentially Private Mechanisms.,2016,"Arpita Ghosh, Robert Kleinberg, ","Arpita Ghosh, Robert Kleinberg"
Integrated Approach to Data Center Power Management.,2013,"Lakshmi Ganesh, Hakim Weatherspoon, Tudor Marian, Ken Birman, ","Hakim Weatherspoon, Ken Birman"
Internet Collaboration on Extremely Difficult Problems - Research versus Olympiad Questions on the Polymath Site.,2016,"Isabel Mette Kloumann, Chenhao Tan, Jon M. Kleinberg, Lillian Lee, ","Jon Kleinberg, Lillian Lee"
Introduction to computer science and economic theory.,2015,"Lawrence E. Blume, David A. Easley, Jon M. Kleinberg, Robert D. Kleinberg, 神va Tardos, ","David Easley, Jon Kleinberg, Robert Kleinberg"
"Ironstack - Performance, Stability and Security for Power Grid Data Networks.",2014,"Zhiyuan Teo, Vera Kutsenko, Ken Birman, Robbert van Renesse, ","Ken Birman, Robbert van Renesse"
Isomorphism and embedding problems for infinite limits of scale-free graphs.,2005,"Robert D. Kleinberg, Jon M. Kleinberg, ","Jon Kleinberg, Robert Kleinberg"
Kelips - Building an Efficient and Stable P2P DHT through Increased Memory and Background Overhead.,2003,"Indranil Gupta, Kenneth P. Birman, Prakash Linga, Alan J. Demers, Robbert van Renesse, ","Alan Demers, Ken Birman, Robbert van Renesse"
Knowledge-Based Synthesis of Distributed Systems Using Event Structures,2011,"Mark Bickford, Robert L. Constable, Joseph Y. Halpern, Sabina Petride, ","Joseph Halpern, Robert Constable"
Knowledge-Based Synthesis of Distributed Systems Using Event Structures.,2004,"Mark Bickford, Robert L. Constable, Joseph Y. Halpern, Sabina Petride, ","Joseph Halpern, Robert Constable"
Kulfi - Robust Traffic Engineering Using Semi-Oblivious Routing.,2016,"Praveen Kumar, Yang Yuan, Chris Yu, Nate Foster, Robert D. Kleinberg, Robert Soul姓, ","Nate Foster, Robert Kleinberg"
Learning diverse rankings with multi-armed bandits.,2008,"Filip Radlinski, Robert Kleinberg, Thorsten Joachims, ","Robert Kleinberg, Thorsten Joachims"
